Namespace(activation_function='relu', arch_embedding_size='4-3-2', arch_interaction_itself=False, arch_interaction_op='dot', arch_mlp_bot='13-512-256-256-128', arch_mlp_top='512-256-1', arch_sparse_feature_size=128, data_generation='dataset', data_randomize='total', data_set='kaggle', data_size=1, data_sub_sample_rate=0.0, data_trace_enable_padding=False, data_trace_file='./input/dist_emb_j.log', debug_mode=False, enable_profiling=False, eta=None, inference_only=False, kl_multiplier=10.0, learning_rate=0.005, load_model='', load_saved=0, loss_function='bce', loss_threshold=0.0, loss_weights='1.0-1.0', lr_decay_start_step=0, lr_num_decay_steps=0, lr_num_warmup_steps=0, max_ind_range=-1, md_flag=False, md_round_dims=False, md_temperature=0.3, md_threshold=200, memory_map=True, mini_batch_size=2048, mlperf_acc_threshold=0.0, mlperf_auc_threshold=0.0, mlperf_bin_loader=False, mlperf_bin_shuffle=False, mlperf_logging=False, nepochs=3, no_kl_steps=2500, num_batches=0, num_indices_per_lookup=10, num_indices_per_lookup_fixed=False, num_workers=0, numpy_rand_seed=123, optimizer='Adam', plot_compute_graph=False, print_freq=1024, print_precision=5, print_time=True, prior_type='log_uniform', processed_data_file='./input/kaggleAdDisplayChallenge_processed.npz', qr_collisions=4, qr_flag=False, qr_operation='mult', qr_threshold=200, raw_data_file='./input/train.txt', round_targets=True, save_model='', save_onnx=False, sync_dense_params=True, tensor_type='Tucker', test_freq=10240, test_mini_batch_size=-1, test_num_workers=16, use_gpu=1)
Using 1 GPU(s)...
Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
Sparse features= 26, Dense features= 13
Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
Sparse features= 26, Dense features= 13
Embedding 0 size 1460x128
Embedding 1 size 583x128
Tensorized-Embedding 2 size 10131227x128
log_uniform
None
Tensorized-Embedding 3 size 2202608x128
log_uniform
None
Embedding 4 size 305x128
Embedding 5 size 24x128
Embedding 6 size 12517x128
Embedding 7 size 633x128
Embedding 8 size 3x128
Embedding 9 size 93145x128
Embedding 10 size 5683x128
Tensorized-Embedding 11 size 8351593x128
log_uniform
None
Embedding 12 size 3194x128
Embedding 13 size 27x128
Embedding 14 size 14992x128
Tensorized-Embedding 15 size 5461306x128
log_uniform
None
Embedding 16 size 10x128
Embedding 17 size 5652x128
Embedding 18 size 2173x128
Embedding 19 size 4x128
Tensorized-Embedding 20 size 7046547x128
log_uniform
None
Embedding 21 size 18x128
Embedding 22 size 15x128
Embedding 23 size 286181x128
Embedding 24 size 105x128
Embedding 25 size 142572x128
time/loss/accuracy (if enabled):
Finished training it 1024/19186 of epoch 0, 89.36 ms/it, loss 0.469630, accuracy 78.171 %
KL loss  0.0 iteration kl_multiplier  tensor(0.)  iter  1023
Tensor type  tucker  rank 1e-7 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-8 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-9 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-7 [20, 20, 20, 20]
Tensor type  tucker  rank 1e-8 [20, 20, 20, 20]
Tensor type  tucker  rank 1e-9 [20, 20, 20, 20]
Tensor type  tucker  rank 1e-7 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-8 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-9 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-7 [21, 21, 21, 21]
Tensor type  tucker  rank 1e-8 [21, 21, 21, 21]
Tensor type  tucker  rank 1e-9 [21, 21, 21, 21]
Tensor type  tucker  rank 1e-7 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-8 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-9 [22, 22, 22, 22]
Finished training it 2048/19186 of epoch 0, 88.12 ms/it, loss 0.457963, accuracy 78.662 %
KL loss  0.0 iteration kl_multiplier  tensor(0.)  iter  2047
Tensor type  tucker  rank 1e-7 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-8 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-9 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-7 [20, 20, 20, 20]
Tensor type  tucker  rank 1e-8 [20, 20, 20, 20]
Tensor type  tucker  rank 1e-9 [20, 20, 20, 20]
Tensor type  tucker  rank 1e-7 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-8 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-9 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-7 [21, 21, 21, 21]
Tensor type  tucker  rank 1e-8 [21, 21, 21, 21]
Tensor type  tucker  rank 1e-9 [21, 21, 21, 21]
Tensor type  tucker  rank 1e-7 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-8 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-9 [22, 22, 22, 22]
Finished training it 3072/19186 of epoch 0, 87.96 ms/it, loss 0.454539, accuracy 78.843 %
KL loss  0.0 iteration kl_multiplier  tensor(0.)  iter  3071
Tensor type  tucker  rank 1e-7 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-8 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-9 [22, 22, 22, 22]
Tensor type  tucker  rank 1e-7 [20, 20, 20, 20]
Tensor type  tucker  rank 1e-8 [20, 20, 20, 20]
Tensor type  tucker  rank 1e-9 [20, 20, 20, 20]
